gene	biol_replicate	sugar	strain	day	CT	run	Sample Name	Ct_mean_ref	dCt	dCt_mean_gluc	ddCt	2^-ddCt
yihP	1	G	K12	day1_1	21.9	1	wt_yihP_G1	10.25	11.649999999999999	11.424999999999999	0.22499999999999964	0.856
yihP	1	G	K12	day1_4	21.6	1	wt_yihP_G1	10.25	11.350000000000001	11.424999999999999	-0.07499999999999751	1.053
yihP	1	Lac	K12	day1_1	22.8	1	wt_yihP_Lac1	13.025	9.775	11.424999999999999	-1.6499999999999986	3.138
yihP	1	Lac	K12	day1_2	22.2	1	wt_yihP_Lac1	13.025	9.174999999999999	11.424999999999999	-2.25	4.757
yihP	1	Lac	K12	day2_4	23.7	2	wt_yihP_Lac1	12.175	11.524999999999999	12.450000000000001	-0.9250000000000025	1.899
yihP	1	Lac	K12	day1_3	22.3	1	wt_yihP_Lac1	13.025	9.275	11.424999999999999	-2.1499999999999986	4.438
yihP	1	Lac	K12	day2_2	23.3	2	wt_yihP_Lac1	12.175	11.125	12.450000000000001	-1.325000000000001	2.505
yihP	1	Lac	K12	day2_1	23.8	2	wt_yihP_Lac1	12.175	11.625	12.450000000000001	-0.8250000000000011	1.772
yihP	1	Lac	K12	day2_3	21.7	2	wt_yihP_Lac1	12.175	9.524999999999999	12.450000000000001	-2.9250000000000025	7.595
yihP	1	Lac	K12	day1_4	22.2	1	wt_yihP_Lac1	13.025	9.174999999999999	11.424999999999999	-2.25	4.757
yihP	1	SQ	K12	day2_4	15.5	2	wt_yihP_SQ1	10.275	5.225	12.450000000000001	-7.225000000000001	149.603
yihP	1	SQ	K12	day2_3	15.9	2	wt_yihP_SQ1	10.275	5.625	12.450000000000001	-6.825000000000001	113.378
yihP	1	SQ	K12	day2_2	15.4	2	wt_yihP_SQ1	10.275	5.125	12.450000000000001	-7.325000000000001	160.341
yihP	1	SQ	K12	day1_4	15.3	1	wt_yihP_SQ1	11.525	3.7750000000000004	11.424999999999999	-7.649999999999999	200.854
yihP	1	SQ	K12	day2_1	15.6	2	wt_yihP_SQ1	10.275	5.324999999999999	12.450000000000001	-7.125000000000002	139.585
yihP	1	SQ	K12	day1_2	14.6	1	wt_yihP_SQ1	11.525	3.0749999999999993	11.424999999999999	-8.35	326.288
yihP	1	SQ	K12	day1_1	15.1	1	wt_yihP_SQ1	11.525	3.5749999999999993	11.424999999999999	-7.85	230.72
yihP	1	SQ	K12	day1_3	15.2	1	wt_yihP_SQ1	11.525	3.674999999999999	11.424999999999999	-7.75	215.269
yihQ	1	G	K12	day1_4	25.9	1	wt_yihQ_G1	10.25	15.649999999999999	15.825	-0.1750000000000007	1.129
yihQ	1	G	K12	day1_2	26.5	1	wt_yihQ_G1	10.25	16.25	15.825	0.4250000000000007	0.745
yihQ	1	G	K12	day2_1	26.7	2	wt_yihQ_G1	10.0	16.7	16.150000000000002	0.5499999999999972	0.683
yihQ	1	G	K12	day1_1	26.0	1	wt_yihQ_G1	10.25	15.75	15.825	-0.07499999999999929	1.053
yihQ	1	G	K12	day2_2	26.7	2	wt_yihQ_G1	10.0	16.7	16.150000000000002	0.5499999999999972	0.683
yihQ	1	G	K12	day2_4	25.6	2	wt_yihQ_G1	10.0	15.600000000000001	16.150000000000002	-0.5500000000000007	1.464
yihQ	1	G	K12	day2_3	25.6	2	wt_yihQ_G1	10.0	15.600000000000001	16.150000000000002	-0.5500000000000007	1.464
yihQ	1	G	K12	day1_3	25.9	1	wt_yihQ_G1	10.25	15.649999999999999	15.825	-0.1750000000000007	1.129
yihQ	1	Lac	K12	day2_4	25.6	2	wt_yihQ_Lac1	12.175	13.425	16.150000000000002	-2.7250000000000014	6.612
yihQ	1	Lac	K12	day2_2	25.9	2	wt_yihQ_Lac1	12.175	13.724999999999998	16.150000000000002	-2.4250000000000043	5.37
yihQ	1	Lac	K12	day2_1	25.9	2	wt_yihQ_Lac1	12.175	13.724999999999998	16.150000000000002	-2.4250000000000043	5.37
yihQ	1	Lac	K12	day1_4	25.6	1	wt_yihQ_Lac1	13.025	12.575000000000001	15.825	-3.2499999999999982	9.514
yihQ	1	Lac	K12	day1_3	25.8	1	wt_yihQ_Lac1	13.025	12.775	15.825	-3.049999999999999	8.282
yihQ	1	Lac	K12	day2_3	25.9	2	wt_yihQ_Lac1	12.175	13.724999999999998	16.150000000000002	-2.4250000000000043	5.37
yihQ	1	Lac	K12	day1_1	25.9	1	wt_yihQ_Lac1	13.025	12.874999999999998	15.825	-2.950000000000001	7.727
yihQ	1	SQ	K12	day2_4	21.0	2	wt_yihQ_SQ1	10.275	10.725	16.150000000000002	-5.4250000000000025	42.962
yihQ	1	SQ	K12	day2_3	21.5	2	wt_yihQ_SQ1	10.275	11.225	16.150000000000002	-4.9250000000000025	30.379
yihQ	1	SQ	K12	day2_2	21.5	2	wt_yihQ_SQ1	10.275	11.225	16.150000000000002	-4.9250000000000025	30.379
yihQ	1	SQ	K12	day2_1	21.4	2	wt_yihQ_SQ1	10.275	11.124999999999998	16.150000000000002	-5.025000000000004	32.559
yihQ	1	SQ	K12	day1_1	19.8	1	wt_yihQ_SQ1	11.525	8.275	15.825	-7.549999999999999	187.403
yihQ	1	SQ	K12	day1_3	20.0	1	wt_yihQ_SQ1	11.525	8.475	15.825	-7.35	163.144
yihQ	1	SQ	K12	day1_2	19.8	1	wt_yihQ_SQ1	11.525	8.275	15.825	-7.549999999999999	187.403
yihQ	1	SQ	K12	day1_4	18.3	1	wt_yihQ_SQ1	11.525	6.775	15.825	-9.049999999999999	530.056
yihR	1	G	K12	day1_3	23.5	1	wt_yihR_G1	10.25	13.25	12.75	0.5	0.707
yihR	1	G	K12	day1_4	22.6	1	wt_yihR_G1	10.25	12.350000000000001	12.75	-0.3999999999999986	1.32
yihR	1	G	K12	day2_1	22.5	2	wt_yihR_G1	10.0	12.5	12.625	-0.125	1.091
yihR	1	G	K12	day1_2	22.7	1	wt_yihR_G1	10.25	12.45	12.75	-0.3000000000000007	1.231
yihR	1	G	K12	day2_2	22.5	2	wt_yihR_G1	10.0	12.5	12.625	-0.125	1.091
yihR	1	G	K12	day1_1	23.2	1	wt_yihR_G1	10.25	12.95	12.75	0.1999999999999993	0.871
yihR	1	G	K12	day2_3	22.5	2	wt_yihR_G1	10.0	12.5	12.625	-0.125	1.091
yihR	1	G	K12	day2_4	23.0	2	wt_yihR_G1	10.0	13.0	12.625	0.375	0.771
yihR	1	Lac	K12	day2_3	21.4	2	wt_yihR_Lac1	12.175	9.224999999999998	12.625	-3.400000000000002	10.556
yihR	1	Lac	K12	day2_4	21.4	2	wt_yihR_Lac1	12.175	9.224999999999998	12.625	-3.400000000000002	10.556
yihR	1	Lac	K12	day1_4	23.0	1	wt_yihR_Lac1	13.025	9.975	12.75	-2.7750000000000004	6.845
yihR	1	Lac	K12	day1_1	21.7	1	wt_yihR_Lac1	13.025	8.674999999999999	12.75	-4.075000000000001	16.854
yihR	1	Lac	K12	day1_2	21.6	1	wt_yihR_Lac1	13.025	8.575000000000001	12.75	-4.174999999999999	18.063
yihR	1	Lac	K12	day2_2	21.7	2	wt_yihR_Lac1	12.175	9.524999999999999	12.625	-3.1000000000000014	8.574
yihR	1	Lac	K12	day1_3	21.7	1	wt_yihR_Lac1	13.025	8.674999999999999	12.75	-4.075000000000001	16.854
yihR	1	Lac	K12	day2_1	21.3	2	wt_yihR_Lac1	12.175	9.125	12.625	-3.5	11.314
yihR	1	SQ	K12	day2_4	14.1	2	wt_yihR_SQ1	10.275	3.8249999999999993	12.625	-8.8	445.722
yihR	1	SQ	K12	day2_3	13.9	2	wt_yihR_SQ1	10.275	3.625	12.625	-9.0	512.0
yihR	1	SQ	K12	day2_2	14.0	2	wt_yihR_SQ1	10.275	3.7249999999999996	12.625	-8.9	477.713
yihR	1	SQ	K12	day2_1	14.5	2	wt_yihR_SQ1	10.275	4.225	12.625	-8.4	337.794
yihR	1	SQ	K12	day1_4	14.9	1	wt_yihR_SQ1	11.525	3.375	12.75	-9.375	663.982
yihR	1	SQ	K12	day1_3	14.5	1	wt_yihR_SQ1	11.525	2.9749999999999996	12.75	-9.775	876.129
yihR	1	SQ	K12	day1_2	14.9	1	wt_yihR_SQ1	11.525	3.375	12.75	-9.375	663.982
yihR	1	SQ	K12	day1_1	14.6	1	wt_yihR_SQ1	11.525	3.0749999999999993	12.75	-9.675	817.458
yihS	1	G	K12	day2_4	22.8	2	wt_yihS_G1	10.0	12.8	11.725000000000001	1.0749999999999993	0.475
yihS	1	G	K12	day2_3	20.7	2	wt_yihS_G1	10.0	10.7	11.725000000000001	-1.0250000000000021	2.035
yihS	1	G	K12	day1_4	20.6	1	wt_yihS_G1	10.25	10.350000000000001	11.000000000000002	-0.6500000000000004	1.569
yihS	1	G	K12	day2_1	22.7	2	wt_yihS_G1	10.0	12.7	11.725000000000001	0.9749999999999979	0.509
yihS	1	G	K12	day1_3	21.2	1	wt_yihS_G1	10.25	10.95	11.000000000000002	-0.05000000000000249	1.035
yihS	1	G	K12	day1_2	21.6	1	wt_yihS_G1	10.25	11.350000000000001	11.000000000000002	0.34999999999999964	0.785
yihS	1	G	K12	day1_1	21.6	1	wt_yihS_G1	10.25	11.350000000000001	11.000000000000002	0.34999999999999964	0.785
yihS	1	G	K12	day2_2	20.7	2	wt_yihS_G1	10.0	10.7	11.725000000000001	-1.0250000000000021	2.035
yihS	1	Lac	K12	day1_2	20.5	1	wt_yihS_Lac1	13.025	7.475	11.000000000000002	-3.525000000000002	11.511
yihS	1	Lac	K12	day1_4	20.5	1	wt_yihS_Lac1	13.025	7.475	11.000000000000002	-3.525000000000002	11.511
yihS	1	Lac	K12	day1_3	19.6	1	wt_yihS_Lac1	13.025	6.575000000000001	11.000000000000002	-4.425000000000001	21.481
yihS	1	Lac	K12	day1_1	20.3	1	wt_yihS_Lac1	13.025	7.275	11.000000000000002	-3.7250000000000014	13.223
yihS	1	Lac	K12	day2_1	21.4	2	wt_yihS_Lac1	12.175	9.224999999999998	11.725000000000001	-2.5000000000000036	5.657
yihS	1	Lac	K12	day2_4	21.6	2	wt_yihS_Lac1	12.175	9.425	11.725000000000001	-2.3000000000000007	4.925
yihS	1	Lac	K12	day2_3	21.5	2	wt_yihS_Lac1	12.175	9.325	11.725000000000001	-2.400000000000002	5.278
yihS	1	Lac	K12	day2_2	21.6	2	wt_yihS_Lac1	12.175	9.425	11.725000000000001	-2.3000000000000007	4.925
yihS	1	SQ	K12	day2_3	12.5	2	wt_yihS_SQ1	10.275	2.2249999999999996	11.725000000000001	-9.500000000000002	724.077
yihS	1	SQ	K12	day2_4	12.5	2	wt_yihS_SQ1	10.275	2.2249999999999996	11.725000000000001	-9.500000000000002	724.077
yihS	1	SQ	K12	day2_2	12.5	2	wt_yihS_SQ1	10.275	2.2249999999999996	11.725000000000001	-9.500000000000002	724.077
